filename,actually_vulnerable,semgrep_found,type
BenchmarkTest00065.java,True,False,FN (False Negative)
BenchmarkTest00066.java,True,True,TP (True Positive)
BenchmarkTest00067.java,True,True,TP (True Positive)
BenchmarkTest00068.java,True,True,TP (True Positive)
BenchmarkTest00069.java,False,False,TN (True Negative)
BenchmarkTest00070.java,True,True,TP (True Positive)
BenchmarkTest00071.java,True,True,TP (True Positive)
BenchmarkTest00072.java,False,False,TN (True Negative)
BenchmarkTest00073.java,True,True,TP (True Positive)
BenchmarkTest00074.java,True,False,FN (False Negative)
BenchmarkTest00075.java,False,False,TN (True Negative)
BenchmarkTest00076.java,False,False,TN (True Negative)
BenchmarkTest00077.java,True,True,TP (True Positive)
BenchmarkTest00078.java,True,True,TP (True Positive)
BenchmarkTest00079.java,True,True,TP (True Positive)
BenchmarkTest00080.java,True,True,TP (True Positive)
BenchmarkTest00081.java,True,True,TP (True Positive)
BenchmarkTest00082.java,True,True,TP (True Positive)
BenchmarkTest00083.java,True,True,TP (True Positive)
BenchmarkTest00084.java,True,True,TP (True Positive)
BenchmarkTest00085.java,True,True,TP (True Positive)
BenchmarkTest00086.java,True,True,TP (True Positive)
BenchmarkTest00087.java,True,True,TP (True Positive)
BenchmarkTest00088.java,False,False,TN (True Negative)
BenchmarkTest00089.java,False,False,TN (True Negative)
BenchmarkTest00090.java,False,True,FP (False Positive)
BenchmarkTest00091.java,True,True,TP (True Positive)
BenchmarkTest00092.java,True,True,TP (True Positive)
BenchmarkTest00093.java,False,False,TN (True Negative)
BenchmarkTest00094.java,False,False,TN (True Negative)
BenchmarkTest00095.java,False,False,TN (True Negative)
BenchmarkTest00096.java,False,False,TN (True Negative)
BenchmarkTest00097.java,False,True,FP (False Positive)
BenchmarkTest00098.java,True,True,TP (True Positive)
BenchmarkTest00099.java,False,False,TN (True Negative)
BenchmarkTest00100.java,True,False,FN (False Negative)
BenchmarkTest00101.java,True,False,FN (False Negative)
BenchmarkTest00102.java,True,True,TP (True Positive)
BenchmarkTest00103.java,True,True,TP (True Positive)
BenchmarkTest00104.java,False,True,FP (False Positive)
BenchmarkTest00105.java,False,True,FP (False Positive)
BenchmarkTest00106.java,True,True,TP (True Positive)
BenchmarkTest00107.java,False,True,FP (False Positive)
BenchmarkTest00108.java,True,True,TP (True Positive)
BenchmarkTest00109.java,True,True,TP (True Positive)
BenchmarkTest00110.java,False,True,FP (False Positive)
BenchmarkTest00111.java,True,True,TP (True Positive)
BenchmarkTest00112.java,True,True,TP (True Positive)
BenchmarkTest00113.java,False,True,FP (False Positive)
BenchmarkTest00114.java,False,True,FP (False Positive)
BenchmarkTest00115.java,True,True,TP (True Positive)
BenchmarkTest00116.java,False,False,TN (True Negative)
BenchmarkTest00117.java,False,True,FP (False Positive)
BenchmarkTest00118.java,False,True,FP (False Positive)
BenchmarkTest00119.java,True,True,TP (True Positive)
BenchmarkTest00120.java,True,True,TP (True Positive)
BenchmarkTest00121.java,False,False,TN (True Negative)
BenchmarkTest00122.java,False,False,TN (True Negative)
BenchmarkTest00123.java,True,True,TP (True Positive)
BenchmarkTest00124.java,True,True,TP (True Positive)
BenchmarkTest00125.java,True,True,TP (True Positive)
BenchmarkTest00126.java,False,False,TN (True Negative)
BenchmarkTest00127.java,False,False,TN (True Negative)
BenchmarkTest00128.java,False,False,TN (True Negative)
BenchmarkTest00129.java,False,False,TN (True Negative)
BenchmarkTest00130.java,False,False,TN (True Negative)
BenchmarkTest00131.java,False,True,FP (False Positive)
BenchmarkTest00132.java,False,True,FP (False Positive)
BenchmarkTest00133.java,True,True,TP (True Positive)
BenchmarkTest00134.java,False,False,TN (True Negative)
BenchmarkTest00135.java,False,True,FP (False Positive)
BenchmarkTest00136.java,False,True,FP (False Positive)
BenchmarkTest00137.java,False,False,TN (True Negative)
BenchmarkTest00138.java,False,True,FP (False Positive)
BenchmarkTest00139.java,False,False,TN (True Negative)
BenchmarkTest00140.java,True,True,TP (True Positive)
BenchmarkTest00141.java,True,True,TP (True Positive)
BenchmarkTest00142.java,False,False,TN (True Negative)
BenchmarkTest00143.java,True,False,FN (False Negative)
BenchmarkTest00144.java,True,False,FN (False Negative)
BenchmarkTest00145.java,True,False,FN (False Negative)
BenchmarkTest00146.java,True,True,TP (True Positive)
BenchmarkTest00147.java,False,False,TN (True Negative)
BenchmarkTest00148.java,True,True,TP (True Positive)
BenchmarkTest00149.java,True,True,TP (True Positive)
BenchmarkTest00150.java,True,True,TP (True Positive)
BenchmarkTest00151.java,False,False,TN (True Negative)
BenchmarkTest00152.java,True,True,TP (True Positive)
BenchmarkTest00153.java,True,False,FN (False Negative)
BenchmarkTest00154.java,True,True,TP (True Positive)
BenchmarkTest00155.java,True,True,TP (True Positive)
BenchmarkTest00156.java,True,False,FN (False Negative)
BenchmarkTest00157.java,True,True,TP (True Positive)
BenchmarkTest00158.java,False,True,FP (False Positive)
BenchmarkTest00159.java,True,True,TP (True Positive)
BenchmarkTest00160.java,True,True,TP (True Positive)
BenchmarkTest00161.java,True,True,TP (True Positive)
BenchmarkTest00162.java,True,True,TP (True Positive)
BenchmarkTest00163.java,True,True,TP (True Positive)
BenchmarkTest00164.java,True,True,TP (True Positive)
BenchmarkTest00165.java,True,True,TP (True Positive)
BenchmarkTest00166.java,True,True,TP (True Positive)
BenchmarkTest00167.java,True,True,TP (True Positive)
BenchmarkTest00168.java,True,True,TP (True Positive)
BenchmarkTest00169.java,True,True,TP (True Positive)
BenchmarkTest00170.java,True,True,TP (True Positive)
BenchmarkTest00171.java,False,False,TN (True Negative)
BenchmarkTest00172.java,True,False,FN (False Negative)
BenchmarkTest00173.java,True,False,FN (False Negative)
BenchmarkTest00174.java,True,True,TP (True Positive)
BenchmarkTest00175.java,False,False,TN (True Negative)
BenchmarkTest00176.java,True,True,TP (True Positive)
BenchmarkTest00177.java,False,True,FP (False Positive)
BenchmarkTest00178.java,False,False,TN (True Negative)
BenchmarkTest00179.java,False,False,TN (True Negative)
BenchmarkTest00180.java,False,False,TN (True Negative)
BenchmarkTest00181.java,False,False,TN (True Negative)
BenchmarkTest00182.java,False,False,TN (True Negative)
BenchmarkTest00183.java,False,False,TN (True Negative)
BenchmarkTest00184.java,False,False,TN (True Negative)
BenchmarkTest00185.java,False,False,TN (True Negative)
BenchmarkTest00186.java,False,False,TN (True Negative)
BenchmarkTest00187.java,False,False,TN (True Negative)
BenchmarkTest00188.java,False,False,TN (True Negative)
BenchmarkTest00189.java,False,False,TN (True Negative)
BenchmarkTest00190.java,False,False,TN (True Negative)
BenchmarkTest00191.java,False,True,FP (False Positive)
BenchmarkTest00192.java,True,True,TP (True Positive)
BenchmarkTest00193.java,True,True,TP (True Positive)
BenchmarkTest00194.java,True,True,TP (True Positive)
BenchmarkTest00195.java,True,True,TP (True Positive)
BenchmarkTest00196.java,True,True,TP (True Positive)
BenchmarkTest00197.java,False,False,TN (True Negative)
BenchmarkTest00198.java,True,True,TP (True Positive)
BenchmarkTest00199.java,True,True,TP (True Positive)
BenchmarkTest00200.java,False,False,TN (True Negative)
BenchmarkTest00201.java,False,False,TN (True Negative)
BenchmarkTest00202.java,False,True,FP (False Positive)
BenchmarkTest00203.java,True,True,TP (True Positive)
BenchmarkTest00204.java,True,True,TP (True Positive)
BenchmarkTest00205.java,False,True,FP (False Positive)
BenchmarkTest00206.java,False,True,FP (False Positive)
BenchmarkTest00207.java,True,True,TP (True Positive)
BenchmarkTest00208.java,True,True,TP (True Positive)
BenchmarkTest00209.java,False,False,TN (True Negative)
BenchmarkTest00210.java,True,True,TP (True Positive)
BenchmarkTest00211.java,False,False,TN (True Negative)
BenchmarkTest00212.java,False,False,TN (True Negative)
BenchmarkTest00213.java,False,False,TN (True Negative)
BenchmarkTest00214.java,False,False,TN (True Negative)
BenchmarkTest00215.java,True,True,TP (True Positive)
BenchmarkTest00216.java,True,True,TP (True Positive)
BenchmarkTest00217.java,False,False,TN (True Negative)
BenchmarkTest00218.java,True,True,TP (True Positive)
BenchmarkTest00219.java,True,True,TP (True Positive)
BenchmarkTest00220.java,False,False,TN (True Negative)
BenchmarkTest00221.java,False,True,FP (False Positive)
BenchmarkTest00222.java,True,True,TP (True Positive)
BenchmarkTest00223.java,True,True,TP (True Positive)
BenchmarkTest00224.java,False,False,TN (True Negative)
BenchmarkTest00225.java,False,False,TN (True Negative)
BenchmarkTest00226.java,True,False,FN (False Negative)
BenchmarkTest00227.java,True,False,FN (False Negative)
BenchmarkTest00228.java,False,False,TN (True Negative)
BenchmarkTest00229.java,False,False,TN (True Negative)
BenchmarkTest00230.java,True,True,TP (True Positive)
BenchmarkTest00231.java,True,True,TP (True Positive)
BenchmarkTest00232.java,True,True,TP (True Positive)
BenchmarkTest00233.java,True,True,TP (True Positive)
BenchmarkTest00234.java,True,True,TP (True Positive)
BenchmarkTest00235.java,True,True,TP (True Positive)
BenchmarkTest00236.java,True,True,TP (True Positive)
BenchmarkTest00237.java,True,True,TP (True Positive)
BenchmarkTest00238.java,True,True,TP (True Positive)
BenchmarkTest00239.java,True,True,TP (True Positive)
BenchmarkTest00240.java,True,True,TP (True Positive)
BenchmarkTest00241.java,True,True,TP (True Positive)
BenchmarkTest00242.java,False,False,TN (True Negative)
BenchmarkTest00243.java,False,False,TN (True Negative)
BenchmarkTest00244.java,False,False,TN (True Negative)
BenchmarkTest00245.java,False,False,TN (True Negative)
BenchmarkTest00246.java,False,False,TN (True Negative)
BenchmarkTest00247.java,False,False,TN (True Negative)
BenchmarkTest00248.java,False,False,TN (True Negative)
BenchmarkTest00249.java,False,False,TN (True Negative)
BenchmarkTest00250.java,False,True,FP (False Positive)
BenchmarkTest00251.java,True,True,TP (True Positive)
BenchmarkTest00252.java,False,False,TN (True Negative)
BenchmarkTest00253.java,False,True,FP (False Positive)
BenchmarkTest00254.java,True,True,TP (True Positive)
BenchmarkTest00255.java,False,False,TN (True Negative)
BenchmarkTest00256.java,True,True,TP (True Positive)
BenchmarkTest00257.java,True,True,TP (True Positive)
BenchmarkTest00258.java,True,True,TP (True Positive)
BenchmarkTest00259.java,False,False,TN (True Negative)
BenchmarkTest00260.java,False,False,TN (True Negative)
BenchmarkTest00261.java,False,False,TN (True Negative)
BenchmarkTest00262.java,True,True,TP (True Positive)
BenchmarkTest00263.java,False,True,FP (False Positive)
BenchmarkTest00264.java,True,True,TP (True Positive)
BenchmarkTest00265.java,False,False,TN (True Negative)
BenchmarkTest00266.java,True,True,TP (True Positive)
BenchmarkTest00267.java,True,True,TP (True Positive)
BenchmarkTest00268.java,True,True,TP (True Positive)
BenchmarkTest00269.java,True,True,TP (True Positive)
BenchmarkTest00270.java,False,False,TN (True Negative)
BenchmarkTest00271.java,False,False,TN (True Negative)
BenchmarkTest00272.java,True,True,TP (True Positive)
BenchmarkTest00273.java,True,False,FN (False Negative)
BenchmarkTest00274.java,True,False,FN (False Negative)
BenchmarkTest00275.java,False,False,TN (True Negative)
BenchmarkTest00276.java,True,True,TP (True Positive)
BenchmarkTest00277.java,False,False,TN (True Negative)
BenchmarkTest00278.java,False,False,TN (True Negative)
BenchmarkTest00279.java,True,False,FN (False Negative)
BenchmarkTest00280.java,True,True,TP (True Positive)
BenchmarkTest00281.java,False,True,FP (False Positive)
BenchmarkTest00282.java,False,False,TN (True Negative)
BenchmarkTest00283.java,False,False,TN (True Negative)
BenchmarkTest00284.java,True,True,TP (True Positive)
BenchmarkTest00285.java,False,False,TN (True Negative)
BenchmarkTest00286.java,False,False,TN (True Negative)
BenchmarkTest00287.java,True,True,TP (True Positive)
BenchmarkTest00288.java,False,False,TN (True Negative)
BenchmarkTest00289.java,False,False,TN (True Negative)
BenchmarkTest00290.java,True,True,TP (True Positive)
BenchmarkTest00291.java,True,True,TP (True Positive)
BenchmarkTest00292.java,True,True,TP (True Positive)
BenchmarkTest00293.java,True,True,TP (True Positive)
BenchmarkTest00294.java,True,True,TP (True Positive)
BenchmarkTest00295.java,True,True,TP (True Positive)
BenchmarkTest00296.java,True,True,TP (True Positive)
BenchmarkTest00297.java,True,True,TP (True Positive)
BenchmarkTest00298.java,True,True,TP (True Positive)
BenchmarkTest00299.java,True,True,TP (True Positive)
BenchmarkTest00300.java,True,True,TP (True Positive)
BenchmarkTest00301.java,True,False,FN (False Negative)
BenchmarkTest00302.java,True,True,TP (True Positive)
BenchmarkTest00303.java,True,True,TP (True Positive)
BenchmarkTest00304.java,True,False,FN (False Negative)
BenchmarkTest00305.java,False,False,TN (True Negative)
BenchmarkTest00306.java,True,True,TP (True Positive)
BenchmarkTest00307.java,False,False,TN (True Negative)
BenchmarkTest00308.java,False,True,FP (False Positive)
BenchmarkTest00309.java,False,False,TN (True Negative)
BenchmarkTest00310.java,False,True,FP (False Positive)
BenchmarkTest00311.java,True,True,TP (True Positive)
BenchmarkTest00312.java,False,False,TN (True Negative)
BenchmarkTest00313.java,False,False,TN (True Negative)
BenchmarkTest00314.java,False,False,TN (True Negative)
BenchmarkTest00315.java,False,False,TN (True Negative)
BenchmarkTest00316.java,False,False,TN (True Negative)
BenchmarkTest00317.java,False,False,TN (True Negative)
BenchmarkTest00318.java,False,False,TN (True Negative)
BenchmarkTest00319.java,False,False,TN (True Negative)
BenchmarkTest00320.java,False,False,TN (True Negative)
BenchmarkTest00321.java,True,False,FN (False Negative)
BenchmarkTest00322.java,False,False,TN (True Negative)
BenchmarkTest00323.java,False,True,FP (False Positive)
BenchmarkTest00324.java,True,True,TP (True Positive)
BenchmarkTest00325.java,True,True,TP (True Positive)
BenchmarkTest00326.java,True,True,TP (True Positive)
BenchmarkTest00327.java,True,True,TP (True Positive)
BenchmarkTest00328.java,True,True,TP (True Positive)
BenchmarkTest00329.java,False,True,FP (False Positive)
BenchmarkTest00330.java,False,False,TN (True Negative)
BenchmarkTest00331.java,False,False,TN (True Negative)
BenchmarkTest00332.java,False,False,TN (True Negative)
BenchmarkTest00333.java,False,True,FP (False Positive)
BenchmarkTest00334.java,False,False,TN (True Negative)
BenchmarkTest00335.java,True,True,TP (True Positive)
BenchmarkTest00336.java,False,True,FP (False Positive)
BenchmarkTest00337.java,True,False,FN (False Negative)
BenchmarkTest00338.java,False,True,FP (False Positive)
BenchmarkTest00339.java,True,True,TP (True Positive)
BenchmarkTest00340.java,False,True,FP (False Positive)
BenchmarkTest00341.java,True,True,TP (True Positive)
BenchmarkTest00342.java,True,True,TP (True Positive)
BenchmarkTest00343.java,False,True,FP (False Positive)
BenchmarkTest00344.java,False,True,FP (False Positive)
BenchmarkTest00345.java,False,False,TN (True Negative)
BenchmarkTest00346.java,True,True,TP (True Positive)
BenchmarkTest00347.java,True,True,TP (True Positive)
BenchmarkTest00348.java,True,True,TP (True Positive)
BenchmarkTest00349.java,False,False,TN (True Negative)
BenchmarkTest00350.java,False,False,TN (True Negative)
BenchmarkTest00351.java,False,False,TN (True Negative)
BenchmarkTest00352.java,False,False,TN (True Negative)
BenchmarkTest00353.java,False,False,TN (True Negative)
BenchmarkTest00354.java,True,True,TP (True Positive)
BenchmarkTest00355.java,True,True,TP (True Positive)
BenchmarkTest00356.java,True,True,TP (True Positive)
BenchmarkTest00357.java,False,False,TN (True Negative)
BenchmarkTest00358.java,False,False,TN (True Negative)
BenchmarkTest00359.java,True,True,TP (True Positive)
BenchmarkTest00360.java,True,True,TP (True Positive)
BenchmarkTest00361.java,False,True,FP (False Positive)
BenchmarkTest00362.java,True,True,TP (True Positive)
BenchmarkTest00363.java,True,True,TP (True Positive)
BenchmarkTest00364.java,False,False,TN (True Negative)
BenchmarkTest00365.java,False,False,TN (True Negative)
BenchmarkTest00366.java,False,False,TN (True Negative)
BenchmarkTest00367.java,False,False,TN (True Negative)
BenchmarkTest00368.java,True,True,TP (True Positive)
BenchmarkTest00369.java,True,True,TP (True Positive)
BenchmarkTest00370.java,False,False,TN (True Negative)
BenchmarkTest00371.java,True,True,TP (True Positive)
BenchmarkTest00372.java,True,True,TP (True Positive)
BenchmarkTest00373.java,False,False,TN (True Negative)
BenchmarkTest00374.java,True,False,FN (False Negative)
BenchmarkTest00375.java,True,True,TP (True Positive)
BenchmarkTest00376.java,True,True,TP (True Positive)
BenchmarkTest00377.java,False,False,TN (True Negative)
BenchmarkTest00378.java,True,True,TP (True Positive)
BenchmarkTest00379.java,False,False,TN (True Negative)
BenchmarkTest00380.java,True,True,TP (True Positive)
BenchmarkTest00381.java,False,False,TN (True Negative)
BenchmarkTest00382.java,True,False,FN (False Negative)
BenchmarkTest00383.java,True,False,FN (False Negative)
BenchmarkTest00384.java,True,True,TP (True Positive)
BenchmarkTest00385.java,True,False,FN (False Negative)
BenchmarkTest00386.java,False,False,TN (True Negative)
BenchmarkTest00387.java,True,True,TP (True Positive)
BenchmarkTest00388.java,True,True,TP (True Positive)
BenchmarkTest00389.java,False,False,TN (True Negative)
BenchmarkTest00390.java,True,True,TP (True Positive)
BenchmarkTest00391.java,False,False,TN (True Negative)
BenchmarkTest00392.java,True,True,TP (True Positive)
BenchmarkTest00393.java,False,True,FP (False Positive)
BenchmarkTest00394.java,False,False,TN (True Negative)
BenchmarkTest00395.java,True,True,TP (True Positive)
BenchmarkTest00396.java,False,True,FP (False Positive)
BenchmarkTest00397.java,True,True,TP (True Positive)
BenchmarkTest00398.java,True,True,TP (True Positive)
BenchmarkTest00399.java,True,True,TP (True Positive)
BenchmarkTest00400.java,True,True,TP (True Positive)
BenchmarkTest00401.java,True,True,TP (True Positive)
BenchmarkTest00402.java,True,True,TP (True Positive)
BenchmarkTest00403.java,True,True,TP (True Positive)
BenchmarkTest00404.java,False,False,TN (True Negative)
BenchmarkTest00405.java,False,False,TN (True Negative)
BenchmarkTest00406.java,False,True,FP (False Positive)
BenchmarkTest00407.java,True,False,FN (False Negative)
BenchmarkTest00408.java,False,True,FP (False Positive)
BenchmarkTest00409.java,True,True,TP (True Positive)
BenchmarkTest00410.java,False,False,TN (True Negative)
BenchmarkTest00411.java,False,False,TN (True Negative)
BenchmarkTest00412.java,False,False,TN (True Negative)
BenchmarkTest00413.java,False,False,TN (True Negative)
BenchmarkTest00414.java,False,False,TN (True Negative)
BenchmarkTest00415.java,False,False,TN (True Negative)
BenchmarkTest00416.java,False,False,TN (True Negative)
BenchmarkTest00417.java,False,False,TN (True Negative)
BenchmarkTest00418.java,False,False,TN (True Negative)
BenchmarkTest00419.java,False,False,TN (True Negative)
BenchmarkTest00420.java,False,False,TN (True Negative)
BenchmarkTest00421.java,False,False,TN (True Negative)
BenchmarkTest00422.java,False,False,TN (True Negative)
BenchmarkTest00423.java,False,False,TN (True Negative)
BenchmarkTest00424.java,True,True,TP (True Positive)
BenchmarkTest00425.java,True,True,TP (True Positive)
BenchmarkTest00426.java,True,True,TP (True Positive)
BenchmarkTest00427.java,True,False,FN (False Negative)
BenchmarkTest00428.java,True,False,FN (False Negative)
BenchmarkTest00429.java,True,True,TP (True Positive)
BenchmarkTest00430.java,False,True,FP (False Positive)
BenchmarkTest00431.java,True,True,TP (True Positive)
BenchmarkTest00432.java,False,False,TN (True Negative)
BenchmarkTest00433.java,True,True,TP (True Positive)
BenchmarkTest00434.java,True,True,TP (True Positive)
BenchmarkTest00435.java,True,True,TP (True Positive)
BenchmarkTest00436.java,False,True,FP (False Positive)
BenchmarkTest00437.java,False,True,FP (False Positive)
BenchmarkTest00438.java,True,True,TP (True Positive)
BenchmarkTest00439.java,True,True,TP (True Positive)
BenchmarkTest00440.java,False,True,FP (False Positive)
BenchmarkTest00441.java,True,True,TP (True Positive)
BenchmarkTest00442.java,True,True,TP (True Positive)
BenchmarkTest00443.java,False,False,TN (True Negative)
BenchmarkTest00444.java,False,False,TN (True Negative)
BenchmarkTest00445.java,True,True,TP (True Positive)
BenchmarkTest00446.java,True,True,TP (True Positive)
BenchmarkTest00447.java,False,False,TN (True Negative)
BenchmarkTest00448.java,True,True,TP (True Positive)
BenchmarkTest00449.java,True,True,TP (True Positive)
BenchmarkTest00450.java,False,False,TN (True Negative)
BenchmarkTest00451.java,False,False,TN (True Negative)
BenchmarkTest00452.java,True,True,TP (True Positive)
BenchmarkTest00453.java,True,True,TP (True Positive)
BenchmarkTest00454.java,False,True,FP (False Positive)
BenchmarkTest00455.java,True,True,TP (True Positive)
BenchmarkTest00456.java,True,False,FN (False Negative)
BenchmarkTest00457.java,True,False,FN (False Negative)
BenchmarkTest00458.java,False,True,FP (False Positive)
BenchmarkTest00459.java,True,True,TP (True Positive)
BenchmarkTest00460.java,False,False,TN (True Negative)
BenchmarkTest00461.java,True,True,TP (True Positive)
BenchmarkTest00462.java,True,True,TP (True Positive)
BenchmarkTest00463.java,False,False,TN (True Negative)
BenchmarkTest00464.java,True,True,TP (True Positive)
BenchmarkTest00465.java,True,True,TP (True Positive)
BenchmarkTest00466.java,False,False,TN (True Negative)
BenchmarkTest00467.java,True,False,FN (False Negative)
BenchmarkTest00468.java,False,False,TN (True Negative)
BenchmarkTest00469.java,False,True,FP (False Positive)
BenchmarkTest00470.java,False,False,TN (True Negative)
BenchmarkTest00471.java,False,False,TN (True Negative)
BenchmarkTest00472.java,True,True,TP (True Positive)
BenchmarkTest00473.java,True,True,TP (True Positive)
BenchmarkTest00474.java,False,False,TN (True Negative)
BenchmarkTest00475.java,True,True,TP (True Positive)
BenchmarkTest00476.java,False,True,FP (False Positive)
BenchmarkTest00477.java,True,True,TP (True Positive)
BenchmarkTest00478.java,True,True,TP (True Positive)
BenchmarkTest00479.java,False,False,TN (True Negative)
BenchmarkTest00480.java,True,True,TP (True Positive)
BenchmarkTest00481.java,False,True,FP (False Positive)
BenchmarkTest00482.java,True,True,TP (True Positive)
BenchmarkTest00483.java,True,True,TP (True Positive)
BenchmarkTest00484.java,True,True,TP (True Positive)
BenchmarkTest00485.java,True,True,TP (True Positive)
BenchmarkTest00486.java,True,True,TP (True Positive)
BenchmarkTest00487.java,True,True,TP (True Positive)
BenchmarkTest00488.java,True,True,TP (True Positive)
BenchmarkTest00489.java,True,True,TP (True Positive)
BenchmarkTest00490.java,True,True,TP (True Positive)
BenchmarkTest00491.java,True,True,TP (True Positive)
BenchmarkTest00492.java,True,True,TP (True Positive)
BenchmarkTest00493.java,False,False,TN (True Negative)
BenchmarkTest00494.java,False,False,TN (True Negative)
BenchmarkTest00495.java,True,False,FN (False Negative)
BenchmarkTest00496.java,True,True,TP (True Positive)
BenchmarkTest00497.java,True,True,TP (True Positive)
BenchmarkTest00498.java,True,True,TP (True Positive)
BenchmarkTest00499.java,True,True,TP (True Positive)
BenchmarkTest00500.java,True,True,TP (True Positive)
BenchmarkTest00501.java,False,False,TN (True Negative)
BenchmarkTest00502.java,False,False,TN (True Negative)
BenchmarkTest00503.java,False,False,TN (True Negative)
BenchmarkTest00504.java,False,False,TN (True Negative)
BenchmarkTest00505.java,False,False,TN (True Negative)
BenchmarkTest00506.java,False,False,TN (True Negative)
BenchmarkTest00507.java,False,False,TN (True Negative)
BenchmarkTest00508.java,True,True,TP (True Positive)
BenchmarkTest00509.java,False,False,TN (True Negative)
BenchmarkTest00510.java,True,True,TP (True Positive)
BenchmarkTest00511.java,False,False,TN (True Negative)
BenchmarkTest00512.java,True,True,TP (True Positive)
BenchmarkTest00513.java,False,True,FP (False Positive)
BenchmarkTest00514.java,False,True,FP (False Positive)
BenchmarkTest00515.java,True,True,TP (True Positive)
BenchmarkTest00516.java,True,True,TP (True Positive)
BenchmarkTest00517.java,False,True,FP (False Positive)
BenchmarkTest00518.java,True,True,TP (True Positive)
BenchmarkTest00519.java,False,True,FP (False Positive)
BenchmarkTest00520.java,False,True,FP (False Positive)
BenchmarkTest00521.java,True,True,TP (True Positive)
BenchmarkTest00522.java,True,True,TP (True Positive)
BenchmarkTest00523.java,False,False,TN (True Negative)
BenchmarkTest00524.java,False,False,TN (True Negative)
BenchmarkTest00525.java,True,False,FN (False Negative)
BenchmarkTest00526.java,True,True,TP (True Positive)
BenchmarkTest00527.java,True,True,TP (True Positive)
BenchmarkTest00528.java,True,False,FN (False Negative)
BenchmarkTest00529.java,True,True,TP (True Positive)
BenchmarkTest00530.java,False,True,FP (False Positive)
BenchmarkTest00531.java,True,True,TP (True Positive)
BenchmarkTest00532.java,True,True,TP (True Positive)
BenchmarkTest00533.java,True,True,TP (True Positive)
BenchmarkTest00534.java,True,True,TP (True Positive)
BenchmarkTest00535.java,False,False,TN (True Negative)
BenchmarkTest00536.java,True,True,TP (True Positive)
